subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,4/23/2018,1/23/2017,1/24/2017,Public Policy Polling,B+,1043,rv,1.017907,0,48,40,46.52198,39.70398,"","",http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_12617.pdf,49237,78153,1/25/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,1/30/2017,1/31/2017,Public Policy Polling,B+,725,rv,.6707079,0,45,42,43.52198,41.70398,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_2217.pdf,49238,78151,2/1/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,2/2/2017,2/6/2017,McLaughlin & Associates,C-,1000,lv,.6387051,0,42.4,44,44.28377,41.50666,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50468,79643,2/7/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,2/5/2017,2/6/2017,Emerson College,B,617,rv,.9469491,0,48.1,46.3,48.18502,45.22195,"","",http://media.wix.com/ugd/3bebb2_ad9933217cc64d9c9fdf4e34a27756c1.pdf,49292,78251,2/7/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,2/7/2017,2/8/2017,Public Policy Polling,B+,712,rv,.6522518,0,49,41,47.52198,40.70398,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_21017.pdf,49287,78162,2/9/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,2/15/2017,2/20/2017,McLaughlin & Associates,C-,1000,lv,.5990136,0,43.5,43.8,45.38377,41.30666,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50467,79642,2/21/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,2/21/2017,2/22/2017,Public Policy Polling,B+,941,rv,.9191785,0,46,43,44.52198,42.70398,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_22417.pdf,49324,78150,2/23/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,3/10/2017,3/12/2017,Public Policy Polling,B+,808,rv,.8719774,0,46,41,44.52198,40.70398,"","",http://www.publicpolicypolling.com/pdf/2017/PPP_Release_National_31517.pdf,49488,78145,3/13/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,3/16/2017,3/20/2017,McLaughlin & Associates,C-,1000,lv,.6966384,0,42.9,44.6,44.78377,42.10666,"","",http://mclaughlinonline.com/2017/11/16/ma-national-survey-results-11-14-17/,50466,79641,3/21/2017,18:00:15 23 Apr 2018
All polls,4/23/2018,3/22/2017,3/27/2017,Marist College,A,906,rv,1.611734,0,47,38,47.08505,38.30987,"","",https://www.documentcloud.org/documents/3532285-McClatchy-Marist-Poll-National-Nature-of-the.html,49556,78147,3/28/2017,18:00:15 23 Apr 2018
