plotsize,tauhat,random,numtrees,vartauhat,n,in.int,median
1,965.2,no,1000,386178.3,2500,0.9052,
1,2501.76,no,2500,1005789,2500,0.948,
1,4892.32,no,5000,1976331,2500,0.9196,
5,975.68,no,1000,416875.2,100,0.9116,
5,2477.12,no,2500,1165575,100,0.9276,
5,4920.32,no,5000,2683747,100,0.9191,
10,1002.88,no,1000,491041.3,25,0.8876,
10,2505.76,no,2500,1890696,25,0.8748,
10,4986.56,no,5000,4882393,25,0.8704,
25,1038.08,no,1000,1190999,4,0.7748,
25,2446.08,no,2500,5399715,4,0.6584,
25,5016.16,no,5000,20018500,4,0.672,
1,1020.64,yes,1000,406816.7,2500,0.9232,
1,2482.88,yes,2500,991014.9,2500,0.942,
1,4984.16,yes,5000,1988188,2500,0.912,
5,1021.44,yes,1000,406965.2,100,0.9204,
5,2532.48,yes,2500,1021738,100,0.9428,
5,5028.64,yes,5000,2007770,100,0.9304,
10,1009.6,yes,1000,402596.3,25,0.9208,
10,2526.24,yes,2500,998165,25,0.9408,
10,5039.2,yes,5000,2087079,25,0.9296,
25,981.92,yes,1000,398978.7,4,0.88,
25,2503.68,yes,2500,1035017,4,0.8608,
25,4985.12,yes,5000,1981813,4,0.838,
