"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species"
"1",7,3.2,4.7,1.4,"0"
"2",6.4,3.2,4.5,1.5,"0"
"3",6.9,3.1,4.9,1.5,"0"
"4",5.5,2.3,4,1.3,"0"
"5",6.5,2.8,4.6,1.5,"0"
"6",5.7,2.8,4.5,1.3,"0"
"7",6.3,3.3,4.7,1.6,"0"
"8",4.9,2.4,3.3,1,"0"
"9",6.6,2.9,4.6,1.3,"0"
"10",5.2,2.7,3.9,1.4,"0"
"11",5,2,3.5,1,"0"
"12",5.9,3,4.2,1.5,"0"
"13",6,2.2,4,1,"0"
"14",6.1,2.9,4.7,1.4,"0"
"15",5.6,2.9,3.6,1.3,"0"
"16",6.7,3.1,4.4,1.4,"0"
"17",5.6,3,4.5,1.5,"0"
"18",5.8,2.7,4.1,1,"0"
"19",6.2,2.2,4.5,1.5,"0"
"20",5.6,2.5,3.9,1.1,"0"
"21",5.9,3.2,4.8,1.8,"0"
"22",6.1,2.8,4,1.3,"0"
"23",6.3,2.5,4.9,1.5,"0"
"24",6.1,2.8,4.7,1.2,"0"
"25",6.4,2.9,4.3,1.3,"0"
"26",6.6,3,4.4,1.4,"0"
"27",6.8,2.8,4.8,1.4,"0"
"28",6.7,3,5,1.7,"0"
"29",6,2.9,4.5,1.5,"0"
"30",5.7,2.6,3.5,1,"0"
"31",5.5,2.4,3.8,1.1,"0"
"32",5.5,2.4,3.7,1,"0"
"33",5.8,2.7,3.9,1.2,"0"
"34",6,2.7,5.1,1.6,"0"
"35",5.4,3,4.5,1.5,"0"
"36",6,3.4,4.5,1.6,"0"
"37",6.7,3.1,4.7,1.5,"0"
"38",6.3,2.3,4.4,1.3,"0"
"39",5.6,3,4.1,1.3,"0"
"40",5.5,2.5,4,1.3,"0"
"41",5.5,2.6,4.4,1.2,"0"
"42",6.1,3,4.6,1.4,"0"
"43",5.8,2.6,4,1.2,"0"
"44",5,2.3,3.3,1,"0"
"45",5.6,2.7,4.2,1.3,"0"
"46",5.7,3,4.2,1.2,"0"
"47",5.7,2.9,4.2,1.3,"0"
"48",6.2,2.9,4.3,1.3,"0"
"49",5.1,2.5,3,1.1,"0"
"50",5.7,2.8,4.1,1.3,"0"
"51",6.3,3.3,6,2.5,"1"
"52",5.8,2.7,5.1,1.9,"1"
"53",7.1,3,5.9,2.1,"1"
"54",6.3,2.9,5.6,1.8,"1"
"55",6.5,3,5.8,2.2,"1"
"56",7.6,3,6.6,2.1,"1"
"57",4.9,2.5,4.5,1.7,"1"
"58",7.3,2.9,6.3,1.8,"1"
"59",6.7,2.5,5.8,1.8,"1"
"60",7.2,3.6,6.1,2.5,"1"
"61",6.5,3.2,5.1,2,"1"
"62",6.4,2.7,5.3,1.9,"1"
"63",6.8,3,5.5,2.1,"1"
"64",5.7,2.5,5,2,"1"
"65",5.8,2.8,5.1,2.4,"1"
"66",6.4,3.2,5.3,2.3,"1"
"67",6.5,3,5.5,1.8,"1"
"68",7.7,3.8,6.7,2.2,"1"
"69",7.7,2.6,6.9,2.3,"1"
"70",6,2.2,5,1.5,"1"
"71",6.9,3.2,5.7,2.3,"1"
"72",5.6,2.8,4.9,2,"1"
"73",7.7,2.8,6.7,2,"1"
"74",6.3,2.7,4.9,1.8,"1"
"75",6.7,3.3,5.7,2.1,"1"
"76",7.2,3.2,6,1.8,"1"
"77",6.2,2.8,4.8,1.8,"1"
"78",6.1,3,4.9,1.8,"1"
"79",6.4,2.8,5.6,2.1,"1"
"80",7.2,3,5.8,1.6,"1"
"81",7.4,2.8,6.1,1.9,"1"
"82",7.9,3.8,6.4,2,"1"
"83",6.4,2.8,5.6,2.2,"1"
"84",6.3,2.8,5.1,1.5,"1"
"85",6.1,2.6,5.6,1.4,"1"
"86",7.7,3,6.1,2.3,"1"
"87",6.3,3.4,5.6,2.4,"1"
"88",6.4,3.1,5.5,1.8,"1"
"89",6,3,4.8,1.8,"1"
"90",6.9,3.1,5.4,2.1,"1"
"91",6.7,3.1,5.6,2.4,"1"
"92",6.9,3.1,5.1,2.3,"1"
"93",5.8,2.7,5.1,1.9,"1"
"94",6.8,3.2,5.9,2.3,"1"
"95",6.7,3.3,5.7,2.5,"1"
"96",6.7,3,5.2,2.3,"1"
"97",6.3,2.5,5,1.9,"1"
"98",6.5,3,5.2,2,"1"
"99",6.2,3.4,5.4,2.3,"1"
"100",5.9,3,5.1,1.8,"1"
